news_headline,news_article,news_category,full_text,clean_text
What records did Rohit break with his 10th international hundred of 2019?,Rohit Sharma became the first opener to score 10 hundreds in international cricket in a calendar year. He also became the first player to score ODI tons against seven different teams in a year. Rohit (190) surpassed MS Dhoni (186) to record most international sixes in India. He also became the first batsman to post eight 150-plus scores in ODIs.,sports,What records did Rohit break with his 10th international hundred of 2019?. Rohit Sharma became the first opener to score 10 hundreds in international cricket in a calendar year. He also became the first player to score ODI tons against seven different teams in a year. Rohit (190) surpassed MS Dhoni (186) to record most international sixes in India. He also became the first batsman to post eight 150-plus scores in ODIs.,record rohit break th international hundred rohit sharma become first opener score hundred international cricket calendar year also become first player score odi ton seven different team year rohit surpass ms dhoni record international six india also become first batsman post eight plus score odis
Rohit breaks his own world record for most international 6s in a calendar year,"Team India opener Rohit Sharma on Wednesday broke his own world record for hitting most sixes across all formats in international cricket in a calendar year. The 32-year-old smashed five sixes in the second ODI against West Indies, taking his tally of sixes in 2019 to 77. He had set the previous record by slamming 74 sixes in 2018.",sports,"Rohit breaks his own world record for most international 6s in a calendar year. Team India opener Rohit Sharma on Wednesday broke his own world record for hitting most sixes across all formats in international cricket in a calendar year. The 32-year-old smashed five sixes in the second ODI against West Indies, taking his tally of sixes in 2019 to 77. He had set the previous record by slamming 74 sixes in 2018.",rohit break world record international calendar year team india opener rohit sharma wednesday break world record hit six across format international cricket calendar year year old smash five six second odi west indie take tally six set previous record slam six
"Shreyas-Rishabh slam 31 runs in an over, break Sachin-Ajay Jadeja's record","India batsmen Rishabh Pant and Shreyas Iyer slammed 31 runs off West Indies spinner Roston Chase's over in the second ODI today to record the most runs off an over by India in an ODI. The duo broke the previous record (28 runs), set by Sachin Tendulkar and Ajay Jadeja against former New Zealand fast bowler Chris Drum in 1999.",sports,"Shreyas-Rishabh slam 31 runs in an over, break Sachin-Ajay Jadeja's record. India batsmen Rishabh Pant and Shreyas Iyer slammed 31 runs off West Indies spinner Roston Chase's over in the second ODI today to record the most runs off an over by India in an ODI. The duo broke the previous record (28 runs), set by Sachin Tendulkar and Ajay Jadeja against former New Zealand fast bowler Chris Drum in 1999.",shreyas rishabh slam run break sachin ajay jadeja record india batsman rishabh pant shreyas iyer slam run west indie spinner roston chase second odi today record run india odi duo break previous record run set sachin tendulkar ajay jadeja former new zealand fast bowler chris drum
Let it stay a mystery: KL Rahul on his celebration after scoring 3rd ODI ton,"On being asked about his celebration after he slammed his third ODI hundred against West Indies on Wednesday, Team India opener KL Rahul said, ""Let it stay a mystery."" The 27-year-old was seen celebrating his hundred by closing his eyes and covering his ears with his fingers. Rahul has now scored two hundreds in his last four ODI innings.",sports,"Let it stay a mystery: KL Rahul on his celebration after scoring 3rd ODI ton. On being asked about his celebration after he slammed his third ODI hundred against West Indies on Wednesday, Team India opener KL Rahul said, ""Let it stay a mystery."" The 27-year-old was seen celebrating his hundred by closing his eyes and covering his ears with his fingers. Rahul has now scored two hundreds in his last four ODI innings.",let stay mystery kl rahul celebration score rd odi ton ask celebration slam third odi hundred west indie wednesday team india opener kl rahul say let stay mystery year old see celebrate hundred close eye cover ear finger rahul score two hundred last four odi inning
Virat Kohli gets out on golden duck in ODI cricket after six years,"Team India captain Virat Kohli was dismissed for a first-ball duck in the second ODI against West Indies on Wednesday, registering his first golden duck in ODI cricket after six years. Kohli, who is playing his 400th international match, was caught by Roston Chase at mid-wicket on the bowling of Kieron Pollard. Overall, it is Kohli's 13th duck in ODIs.",sports,"Virat Kohli gets out on golden duck in ODI cricket after six years. Team India captain Virat Kohli was dismissed for a first-ball duck in the second ODI against West Indies on Wednesday, registering his first golden duck in ODI cricket after six years. Kohli, who is playing his 400th international match, was caught by Roston Chase at mid-wicket on the bowling of Kieron Pollard. Overall, it is Kohli's 13th duck in ODIs.",virat kohli get golden duck odi cricket six year team india captain virat kohli dismiss first ball duck second odi west indie wednesday register first golden duck odi cricket six year kohli play th international match catch roston chase mid wicket bowling kieron pollard overall kohli th duck odis
"KL Rahul smashes his third hundred in ODI cricket, first in India ","Team India opener KL Rahul smashed his third hundred in ODI cricket, achieving the feat against West Indies in the second ODI on Wednesday. It is the 27-year-old's first ODI hundred in India. With this, he became the second Indian after Rohit Sharma to score an international hundred in each format on home soil.",sports,"KL Rahul smashes his third hundred in ODI cricket, first in India . Team India opener KL Rahul smashed his third hundred in ODI cricket, achieving the feat against West Indies in the second ODI on Wednesday. It is the 27-year-old's first ODI hundred in India. With this, he became the second Indian after Rohit Sharma to score an international hundred in each format on home soil.",kl rahul smash third hundred odi cricket first india team india opener kl rahul smash third hundred odi cricket achieve feat west indie second odi wednesday year old first odi hundred india become second indian rohit sharma score international hundred format home soil
"Rohit hits his 18th ODI hundred since start of 2017, overtakes Virat Kohli","Team India opener Rohit Sharma on Wednesday slammed his 18th ODI hundred since the start of 2017, overtaking Virat Kohli who has hit 17 ODI hundreds during the time period. Rohit and Virat are followed by England wicketkeeper-batsman Jonny Bairstow, who has hit nine ODI hundreds since the start of 2017. Overall, it was Rohit's 28th ODI hundred.",sports,"Rohit hits his 18th ODI hundred since start of 2017, overtakes Virat Kohli. Team India opener Rohit Sharma on Wednesday slammed his 18th ODI hundred since the start of 2017, overtaking Virat Kohli who has hit 17 ODI hundreds during the time period. Rohit and Virat are followed by England wicketkeeper-batsman Jonny Bairstow, who has hit nine ODI hundreds since the start of 2017. Overall, it was Rohit's 28th ODI hundred.",rohit hit th odi hundred since start overtake virat kohli team india opener rohit sharma wednesday slam th odi hundred since start overtake virat kohli hit odi hundred time period rohit virat follow england wicketkeeper batsman jonny bairstow hit nine odi hundred since start overall rohit th odi hundred
Protest freely but show respect: Barca manager ahead of El Clasico,"Ahead of the El Clasico against Real Madrid on Wednesday night, Barcelona manager Ernesto Valverde said that fans were free to protest ""as long as they show respect to everyone"". The encounter between the Spanish clubs is expected to witness political chanting with a pro-Catalan independence protest scheduled around Camp Nou stadium only hours before the match. ",sports,"Protest freely but show respect: Barca manager ahead of El Clasico. Ahead of the El Clasico against Real Madrid on Wednesday night, Barcelona manager Ernesto Valverde said that fans were free to protest ""as long as they show respect to everyone"". The encounter between the Spanish clubs is expected to witness political chanting with a pro-Catalan independence protest scheduled around Camp Nou stadium only hours before the match. ",protest freely show respect barca manager ahead el clasico ahead el clasico real madrid wednesday night barcelona manager ernesto valverde say fan free protest long show respect everyone encounter spanish club expect witness political chanting pro catalan independence protest schedule around camp nou stadium hour match
Tokyo 2020 Nippon festival to showcase Japanese calligraphy,"Tokyo 2020 Nippon festival, which will promote Japanese culture around the Olympic and Paralympic Games set to be held next year, will showcase the work of 200 Japanese calligraphers. Further, the calligraphy by children and persons with impairments will also be on display. The Tokyo Olympics will begin on July 24 and culminate on August 9. ",sports,"Tokyo 2020 Nippon festival to showcase Japanese calligraphy. Tokyo 2020 Nippon festival, which will promote Japanese culture around the Olympic and Paralympic Games set to be held next year, will showcase the work of 200 Japanese calligraphers. Further, the calligraphy by children and persons with impairments will also be on display. The Tokyo Olympics will begin on July 24 and culminate on August 9. ",tokyo nippon festival showcase japanese calligraphy tokyo nippon festival promote japanese culture around olympic paralympic game set hold next year showcase work japanese calligrapher calligraphy child person impairment also display tokyo olympic begin july culminate august
Can't see New Zealand winning a game: Ricky Ponting,"Former Australian captain Ricky Ponting said, ""Australia have played some really good cricket here in Perth and if they continue to play anywhere near that I can't see New Zealand winning a game."" Ponting added that he was worried about the visiting New Zealand side and the 'lack of penetration with their bowling attack'.",sports,"Can't see New Zealand winning a game: Ricky Ponting. Former Australian captain Ricky Ponting said, ""Australia have played some really good cricket here in Perth and if they continue to play anywhere near that I can't see New Zealand winning a game."" Ponting added that he was worried about the visiting New Zealand side and the 'lack of penetration with their bowling attack'.",not see new zealand win game ricky ponting former australian captain ricky ponting say australia play really good cricket perth continue play anywhere near not see new zealand win game ponte add worried visit new zealand side lack penetration bowling attack
Serie A CEO apologises over monkey paintings in anti-racism campaign,"Italian football league Serie A CEO Luigi De Siervo has apologised for the monkey paintings in its anti-racism campaign, which came under criticism. ""We realised it was inappropriate,"" Siervo said. With several incidents of black players being subjected to monkey chants, the league had revealed the paintings of three differently coloured monkeys to show everyone is the same. ",sports,"Serie A CEO apologises over monkey paintings in anti-racism campaign. Italian football league Serie A CEO Luigi De Siervo has apologised for the monkey paintings in its anti-racism campaign, which came under criticism. ""We realised it was inappropriate,"" Siervo said. With several incidents of black players being subjected to monkey chants, the league had revealed the paintings of three differently coloured monkeys to show everyone is the same. ",serie ceo apologise monkey painting anti racism campaign italian football league serie ceo luigi de siervo apologise monkey painting anti racism campaign come criticism realise inappropriate siervo say several incident black player subject monkey chant league reveal painting three differently colour monkey show everyone
"Regret not coming to Pak for ODI, T20I series: SL skipper Dimuth","Sri Lanka Test and ODI captain Dimuth Karunaratne on Wednesday said that he regrets his earlier decision to pull out of the limited-overs Pakistan tour in September-October this year. ""I can say that I feel really safe here,"" he added. Sri Lanka Cricket had sent a second-string squad for the series after 10 players had pulled out citing security reasons. ",sports,"Regret not coming to Pak for ODI, T20I series: SL skipper Dimuth. Sri Lanka Test and ODI captain Dimuth Karunaratne on Wednesday said that he regrets his earlier decision to pull out of the limited-overs Pakistan tour in September-October this year. ""I can say that I feel really safe here,"" he added. Sri Lanka Cricket had sent a second-string squad for the series after 10 players had pulled out citing security reasons. ",regret not come pak odi ti series sl skipper dimuth sri lanka test odi captain dimuth karunaratne wednesday say regret early decision pull limit pakistan tour september october year say feel really safe add sri lanka cricket send second string squad series player pull cite security reason
Harshal Patel picks 12 wickets as Haryana beat Tripura in Ranji,"Haryana on Wednesday defeated Tripura by an innings and 125 runs within two days of the Ranji Trophy Elite Group C match. Haryana captain Harshal Patel picked his career-best first-class match figures of 12 for 53 as Tripura were bundled out for 49 in second innings. In their first match, Haryana had defeated Maharashtra by an innings and 68 runs.
",sports,"Harshal Patel picks 12 wickets as Haryana beat Tripura in Ranji. Haryana on Wednesday defeated Tripura by an innings and 125 runs within two days of the Ranji Trophy Elite Group C match. Haryana captain Harshal Patel picked his career-best first-class match figures of 12 for 53 as Tripura were bundled out for 49 in second innings. In their first match, Haryana had defeated Maharashtra by an innings and 68 runs.
",harshal patel pick wicket haryana beat tripura ranji haryana wednesday defeat tripura innings run within two day ranji trophy elite group c match haryana captain harshal patel pick career good first class match figure tripura bundle second inning first match haryana defeat maharashtra innings run
Younis Khan refuses to be special guest in Pak's 2nd Test vs SL,"Former Pakistan captain Younis Khan has rejected Pakistan Cricket Board's invitation to be a special guest during the second Test against Sri Lanka in Karachi on Thursday. ""Disappointing, upsetting that he's not coming,"" PCB CEO Wasim Khan said. Younis is reportedly unhappy with the board over the refusal of his request to get full charge of the national Under-19 squad.",sports,"Younis Khan refuses to be special guest in Pak's 2nd Test vs SL. Former Pakistan captain Younis Khan has rejected Pakistan Cricket Board's invitation to be a special guest during the second Test against Sri Lanka in Karachi on Thursday. ""Disappointing, upsetting that he's not coming,"" PCB CEO Wasim Khan said. Younis is reportedly unhappy with the board over the refusal of his request to get full charge of the national Under-19 squad.",younis khan refuse special guest pak nd test vs sl former pakistan captain younis khan reject pakistan cricket board invitation special guest second test sri lanka karachi thursday disappointing upset not come pcb ceo wasim khan say younis reportedly unhappy board refusal request get full charge national squad
Kolkata derby postponed due to anti-CAA protests,"The Kolkata derby between Mohun Bagan and East Bengal set to be held on December 22 in the ongoing I-League has been postponed after the All India Football Federation (AIFF) failed to get ""security assurances"" from the police. A news agency report quoted sources as saying that it was due to the ongoing protests against the Citizenship (Amendment) Act. ",sports,"Kolkata derby postponed due to anti-CAA protests. The Kolkata derby between Mohun Bagan and East Bengal set to be held on December 22 in the ongoing I-League has been postponed after the All India Football Federation (AIFF) failed to get ""security assurances"" from the police. A news agency report quoted sources as saying that it was due to the ongoing protests against the Citizenship (Amendment) Act. ",kolkata derby postpone due anti caa protest kolkata derby mohun bagan east bengal set hold december ongoing league postpone india football federation aiff fail get security assurance police news agency report quote source say due ongoing protest citizenship amendment act
Best is yet to come: Kerala coach on Samson's 116-run knock vs Bengal,"Sanju Samson on Tuesday slammed his 10th first-class century against Bengal in the ongoing Ranji Trophy after Kerala lost three wickets for 53 in the first session. Talking about his 116-run knock, Kerala coach Dav Whatmore said, ""He is indeed in very good form...his best is yet to come."" Kerala were bundled out for 239 in 84.2 overs.",sports,"Best is yet to come: Kerala coach on Samson's 116-run knock vs Bengal. Sanju Samson on Tuesday slammed his 10th first-class century against Bengal in the ongoing Ranji Trophy after Kerala lost three wickets for 53 in the first session. Talking about his 116-run knock, Kerala coach Dav Whatmore said, ""He is indeed in very good form...his best is yet to come."" Kerala were bundled out for 239 in 84.2 overs.",good yet come kerala coach samson run knock vs bengal sanju samson tuesday slam th first class century bengal ongoing ranji trophy kerala lose three wicket first session talk run knock kerala coach dav whatmore say indeed good form good yet come kerala bundle
"Robots to greet, guide visitors during Tokyo Games 2020","Japan's Haneda airport has announced that robots would be greeting and guiding the visitors during the Tokyo Games 2020. The airport will employ four robots, divided into two groups. The first group will have digital signage guiding robots, while the second group will comprise security robots that can operate and move by themselves.",sports,"Robots to greet, guide visitors during Tokyo Games 2020. Japan's Haneda airport has announced that robots would be greeting and guiding the visitors during the Tokyo Games 2020. The airport will employ four robots, divided into two groups. The first group will have digital signage guiding robots, while the second group will comprise security robots that can operate and move by themselves.",robot greet guide visitor tokyo game japan haneda airport announce robot would greet guide visitor tokyo game airport employ four robot divide two group first group digital signage guide robot second group comprise security robot operate move
Donald Trump becomes third US President to be impeached,Donald Trump has become the third US President to be impeached following a vote by House of Representatives. The Senate will now hold a trial on whether to remove Trump from office. The charges of abuse of power and obstruction of Congress were brought against Trump over his alleged attempts to pressure Ukraine to investigate his political rival Joe Biden.,world,Donald Trump becomes third US President to be impeached. Donald Trump has become the third US President to be impeached following a vote by House of Representatives. The Senate will now hold a trial on whether to remove Trump from office. The charges of abuse of power and obstruction of Congress were brought against Trump over his alleged attempts to pressure Ukraine to investigate his political rival Joe Biden.,donald trump become third us president impeach donald trump become third us president impeach follow vote house representative senate hold trial whether remove trump office charge abuse power obstruction congress bring trump allege attempt pressure ukraine investigate political rival joe biden
I will be impeached today: Donald Trump,"Ahead of the vote in the US House of Representatives, US President Donald Trump tweeted, ""Can you believe that I'll be impeached today by the...Do Nothing Democrats, AND I DID NOTHING WRONG!"" ""This shoild never happen to another President again. Say a prayer!"" he wrote. Trump later deleted the tweet and wrote another tweet with the correct spelling of 'should'.",world,"I will be impeached today: Donald Trump. Ahead of the vote in the US House of Representatives, US President Donald Trump tweeted, ""Can you believe that I'll be impeached today by the...Do Nothing Democrats, AND I DID NOTHING WRONG!"" ""This shoild never happen to another President again. Say a prayer!"" he wrote. Trump later deleted the tweet and wrote another tweet with the correct spelling of 'should'.",impeach today donald trump ahead vote us house representative us president donald trump tweet believe impeach today nothing democrat nothing wrong shoild never happen another president say prayer write trump later delete tweet write another tweet correct spelling
What is the procedure to impeach the President of the US?,"The US House of Representatives, the lower house of US Congress, debates and votes on impeachment articles against the President. After voting in favour of impeaching him/her, the matter moves to Senate where Supreme Court Chief Justice presides over the trial. Removing the President from office would require a two-thirds majority of those present and voting in the 100-member Senate.",world,"What is the procedure to impeach the President of the US?. The US House of Representatives, the lower house of US Congress, debates and votes on impeachment articles against the President. After voting in favour of impeaching him/her, the matter moves to Senate where Supreme Court Chief Justice presides over the trial. Removing the President from office would require a two-thirds majority of those present and voting in the 100-member Senate.",procedure impeach president us us house representative low house us congress debate vote impeachment article president vote favour impeach matter move senate supreme court chief justice preside trial remove president office would require two third majority present voting member senate
Tried to meet Trump with 'beautiful' climate activists to convince him: Actress,"Hollywood actress Jane Fonda said she attempted to meet US President Donald Trump after his election with a group of ""beautiful, voluptuous, brilliant"" climate activists, including Pamela Anderson, in order to convince him to tackle global warming. ""I kind of know men like Trump, not as bad, but you know, I sort of know those inclinations,"" the 81-year-old added.",world,"Tried to meet Trump with 'beautiful' climate activists to convince him: Actress. Hollywood actress Jane Fonda said she attempted to meet US President Donald Trump after his election with a group of ""beautiful, voluptuous, brilliant"" climate activists, including Pamela Anderson, in order to convince him to tackle global warming. ""I kind of know men like Trump, not as bad, but you know, I sort of know those inclinations,"" the 81-year-old added.",try meet trump beautiful climate activist convince actress hollywood actress jane fonda say attempt meet us president donald trump election group beautiful voluptuous brilliant climate activist include pamela anderson order convince tackle global warming kind know man like trump not bad know sort know inclination year old add
We honour Indian democracy as they have robust debate: US on CAA,"When asked about the Citizenship (Amendment) Act at press conference, US Secretary of State Mike Pompeo said, ""We honour Indian democracy as they have a robust debate on the issue."" ""We care deeply and always will about protecting minorities and religious rights everywhere,"" he added. Pompeo was speaking with the reporters at the conclusion of the India-US 2+2 ministerial talks.",world,"We honour Indian democracy as they have robust debate: US on CAA. When asked about the Citizenship (Amendment) Act at press conference, US Secretary of State Mike Pompeo said, ""We honour Indian democracy as they have a robust debate on the issue."" ""We care deeply and always will about protecting minorities and religious rights everywhere,"" he added. Pompeo was speaking with the reporters at the conclusion of the India-US 2+2 ministerial talks.",honour indian democracy robust debate us caa ask citizenship amendment act press conference us secretary state mike pompeo say honour indian democracy robust debate issue care deeply always protect minority religious right everywhere add pompeo speak reporter conclusion india us ministerial talk
Time Magazine to recreate Martin Luther's 'I Have a Dream' speech in VR,"The Time Magazine built a virtual reality museum experience, The March, to recreate Martin Luther King Jr's ""I Have a Dream"" speech in VR for the first time. It uses motion capture, AI, 'photogrammetry' and 3D rendering. King called for civil and economic rights and an end to racism in front of the Lincoln Memorial on August 28, 1963.",world,"Time Magazine to recreate Martin Luther's 'I Have a Dream' speech in VR. The Time Magazine built a virtual reality museum experience, The March, to recreate Martin Luther King Jr's ""I Have a Dream"" speech in VR for the first time. It uses motion capture, AI, 'photogrammetry' and 3D rendering. King called for civil and economic rights and an end to racism in front of the Lincoln Memorial on August 28, 1963.",time magazine recreate martin luther dream speech vr time magazine build virtual reality museum experience march recreate martin luther king jr dream speech vr first time use motion capture ai photogrammetry render king call civil economic right end racism front lincoln memorial august
Australia experiences its hottest day in recorded history at 40.9℃,"Australia on Tuesday experienced its hottest day on record with an average maximum temperature of 40.9℃ across the country, according to data released by the Bureau of Meteorology. The temperature beat the previous 40.3℃ record set on January 7, 2013. The soaring temperature was recorded as wildfires continue to burn across the country's New South Wales (NSW) state.",world,"Australia experiences its hottest day in recorded history at 40.9℃. Australia on Tuesday experienced its hottest day on record with an average maximum temperature of 40.9℃ across the country, according to data released by the Bureau of Meteorology. The temperature beat the previous 40.3℃ record set on January 7, 2013. The soaring temperature was recorded as wildfires continue to burn across the country's New South Wales (NSW) state.",australia experience hot day record history c australia tuesday experience hot day record average maximum temperature c across country accord datum release bureau meteorology temperature beat previous c record set january soar temperature record wildfire continue burn across country new south wale nsw state
US organisation names NASA Best Place to Work in govt for 8th time,"NASA was named the Best Place to Work in 2019 in the US Government by Washington-based nonprofit, nonpartisan organisation Partnership for Public Service. ""[It] is a testament to the excellence of our workforce and their determination to maintain America's leadership in space exploration,"" said NASA Administrator Jim Bridenstine. This was the 16th edition of the Best Places to Work rankings.",world,"US organisation names NASA Best Place to Work in govt for 8th time. NASA was named the Best Place to Work in 2019 in the US Government by Washington-based nonprofit, nonpartisan organisation Partnership for Public Service. ""[It] is a testament to the excellence of our workforce and their determination to maintain America's leadership in space exploration,"" said NASA Administrator Jim Bridenstine. This was the 16th edition of the Best Places to Work rankings.",us organisation name nasa good place work govt th time nasa name good place work us government washington base nonprofit nonpartisan organisation partnership public service [ ] testament excellence workforce determination maintain america leadership space exploration say nasa administrator jim bridenstine th edition good place work ranking
We welcomed refugees from all over the world: India on Pak PM's refugee remark,"India rejected Pakistan PM Imran Khan's remark that millions of Muslims could flee India, causing a refugee crisis. ""Throughout history, India has welcomed refugees from all over the world. The Zoroastrians had sought refuge in India...Thousands have sought refuge in India from some of our neighbouring countries,"" Rajiv Chander, India's Permanent Representative to the UN, Geneva, said.",world,"We welcomed refugees from all over the world: India on Pak PM's refugee remark. India rejected Pakistan PM Imran Khan's remark that millions of Muslims could flee India, causing a refugee crisis. ""Throughout history, India has welcomed refugees from all over the world. The Zoroastrians had sought refuge in India...Thousands have sought refuge in India from some of our neighbouring countries,"" Rajiv Chander, India's Permanent Representative to the UN, Geneva, said.",welcome refugee world india pak pm refugee remark india reject pakistan pm imran khan remark million muslim could flee india cause refugee crisis throughout history india welcome refugee world zoroastrian seek refuge india thousand seek refuge india neighbouring country rajiv chander india permanent representative un geneva say
Millions of Muslims could flee India: Pakistan PM,"Pakistan PM Imran Khan said that millions of Muslims could flee India due to the restrictions in Kashmir and the new Citizenship (Amendment) Act, creating a ""refugee crisis"". ""We're worried there not only could be a refugee crisis, we're worried it could lead to a conflict between two nuclear-armed countries...Our country won't be able to accommodate more refugees,"" he added.",world,"Millions of Muslims could flee India: Pakistan PM. Pakistan PM Imran Khan said that millions of Muslims could flee India due to the restrictions in Kashmir and the new Citizenship (Amendment) Act, creating a ""refugee crisis"". ""We're worried there not only could be a refugee crisis, we're worried it could lead to a conflict between two nuclear-armed countries...Our country won't be able to accommodate more refugees,"" he added.",million muslim could flee india pakistan pm pakistan pm imran khan say million muslim could flee india due restriction kashmir new citizenship amendment act create refugee crisis worried not could refugee crisis worried could lead conflict two nuclear armed country country not able accommodate refugee add
Trump writes 6-page letter to US House Speaker ahead of impeachment vote,"US President Donald Trump wrote a six-page letter to US House Speaker Nancy Pelosi ahead of the impeachment vote against him. Accusing the Democrats of pursuing an ""illegal, partisan attempted coup"", Trump wrote that he had been ""deprived of basic Constitutional Due Process from the beginning of this impeachment scam"". ""You view democracy as your enemy!"" he further wrote.",world,"Trump writes 6-page letter to US House Speaker ahead of impeachment vote. US President Donald Trump wrote a six-page letter to US House Speaker Nancy Pelosi ahead of the impeachment vote against him. Accusing the Democrats of pursuing an ""illegal, partisan attempted coup"", Trump wrote that he had been ""deprived of basic Constitutional Due Process from the beginning of this impeachment scam"". ""You view democracy as your enemy!"" he further wrote.",trump write page letter us house speaker ahead impeachment vote us president donald trump write six page letter us house speaker nancy pelosi ahead impeachment vote accuse democrat pursue illegal partisan attempt coup trump write deprive basic constitutional due process beginning impeachment scam view democracy enemy write
What are the impeachment charges against Donald Trump?,"The US House of Representatives has voted to impeach President Donald Trump, accusing him of abusing his power as president by pressuring Ukraine to help him get re-elected in 2020. Trump had asked Ukraine to investigate his potential Democratic rival Joe Biden. Trump is also charged with obstructing Congress for preventing his administration from cooperating with the impeachment investigation.",world,"What are the impeachment charges against Donald Trump?. The US House of Representatives has voted to impeach President Donald Trump, accusing him of abusing his power as president by pressuring Ukraine to help him get re-elected in 2020. Trump had asked Ukraine to investigate his potential Democratic rival Joe Biden. Trump is also charged with obstructing Congress for preventing his administration from cooperating with the impeachment investigation.",impeachment charge donald trump us house representative vote impeach president donald trump accuse abuse power president pressure ukraine help get elect trump ask ukraine investigate potential democratic rival joe biden trump also charge obstruct congress prevent administration cooperate impeachment investigation
Drunk man in UK drives car unaware that it doesn't have a tyre; arrested,"A man was arrested in South Yorkshire, UK for not carrying valid documents in his car. South Yorkshire Police said that the man was driving in a drunken state and had failed to realise that the car was missing a tyre. The drunk man had an expired driver's license and had no insurance.",world,"Drunk man in UK drives car unaware that it doesn't have a tyre; arrested. A man was arrested in South Yorkshire, UK for not carrying valid documents in his car. South Yorkshire Police said that the man was driving in a drunken state and had failed to realise that the car was missing a tyre. The drunk man had an expired driver's license and had no insurance.",drunk man uk drive car unaware not tyre arrest man arrest south yorkshire uk not carry valid document car south yorkshire police say man drive drunken state fail realise car miss tyre drunk man expire driver license no insurance
These people are crazy: Trump to Democrats after impeachment,"US President Donald Trump, who has been impeached, said the rival Democratic Party is ""consumed with envy and hatred"". ""These people are crazy,"" he added. He stated that the Democratic Party, which controls the House of Representatives where the votes for impeachment took place, was ""trying to nullify the ballots of tens of millions of patriotic Americans."" ",world,"These people are crazy: Trump to Democrats after impeachment. US President Donald Trump, who has been impeached, said the rival Democratic Party is ""consumed with envy and hatred"". ""These people are crazy,"" he added. He stated that the Democratic Party, which controls the House of Representatives where the votes for impeachment took place, was ""trying to nullify the ballots of tens of millions of patriotic Americans."" ",people crazy trump democrat impeachment us president donald trump impeach say rival democratic party consume envy hatred people crazy add state democratic party control house representative vote impeachment take place try nullify ballot ten million patriotic american
Who are the other US Presidents who have been impeached?,"Andrew Johnson was the first US President to be impeached in 1868 for violating the Tenure of Office Act by firing a cabinet secretary without Congress' consent. Bill Clinton was impeached in 1998 on perjury and obstruction of justice, with the investigation revolving around his affair with Monica Lewinsky. Both were acquitted by the Senate and remained in office.",world,"Who are the other US Presidents who have been impeached?. Andrew Johnson was the first US President to be impeached in 1868 for violating the Tenure of Office Act by firing a cabinet secretary without Congress' consent. Bill Clinton was impeached in 1998 on perjury and obstruction of justice, with the investigation revolving around his affair with Monica Lewinsky. Both were acquitted by the Senate and remained in office.",us president impeach andrew johnson first us president impeach violate tenure office act fire cabinet secretary without congress consent bill clinton impeach perjury obstruction justice investigation revolve around affair monica lewinsky acquit senate remain office
I would disown my kids if they behave like Trump's kids: De Niro,"Hollywood actor Robert De Niro on a chat show called US President Donald Trump, who was impeached on Wednesday, a ""low-life"". Without giving any clarification, he added that he would ""disown his kids"" if they did what Trump's kids did. De Niro further said that Trump is worse than some of the past characters the actor has played in movies.",world,"I would disown my kids if they behave like Trump's kids: De Niro. Hollywood actor Robert De Niro on a chat show called US President Donald Trump, who was impeached on Wednesday, a ""low-life"". Without giving any clarification, he added that he would ""disown his kids"" if they did what Trump's kids did. De Niro further said that Trump is worse than some of the past characters the actor has played in movies.",would disown kid behave like trump kid de niro hollywood actor robert de niro chat show call us president donald trump impeach wednesday low life without give clarification add would disown kid trump kid de niro say trump bad past character actor play movie
Germany moves to ban gay 'conversion therapies',"Germany's cabinet on Tuesday approved a draft law banning 'conversion therapies' designed to force heterosexuality on homosexuals. The legislation will punish violations with imprisonment of up to one year or a fine. ""Homosexuality is not a disease. The term therapy is therefore misleading. We want to ban conversion therapies as much as possible,"" Health Minister Jens Spahn said.",world,"Germany moves to ban gay 'conversion therapies'. Germany's cabinet on Tuesday approved a draft law banning 'conversion therapies' designed to force heterosexuality on homosexuals. The legislation will punish violations with imprisonment of up to one year or a fine. ""Homosexuality is not a disease. The term therapy is therefore misleading. We want to ban conversion therapies as much as possible,"" Health Minister Jens Spahn said.",germany move ban gay conversion therapy germany cabinet tuesday approve draft law ban conversion therapy design force heterosexuality homosexual legislation punish violation imprisonment one year fine homosexuality not disease term therapy therefore misleading want ban conversion therapy much possible health minister jen spahn say
Pak-lovers attempt to turn Bangladesh into failed state: PM Hasina,"Bangladesh PM Sheikh Hasina said that lovers of Pakistan and those who collaborated with Pakistan forces during the country's liberation struggle were attempting to turn Bangladesh into a 'failed state'. Hasina urged her countrymen to foil plots by such people. ""Our goal was that we will remain above Pakistan...on all sides including economic, social, and cultural fronts,"" she further said.",world,"Pak-lovers attempt to turn Bangladesh into failed state: PM Hasina. Bangladesh PM Sheikh Hasina said that lovers of Pakistan and those who collaborated with Pakistan forces during the country's liberation struggle were attempting to turn Bangladesh into a 'failed state'. Hasina urged her countrymen to foil plots by such people. ""Our goal was that we will remain above Pakistan...on all sides including economic, social, and cultural fronts,"" she further said.",pak lover attempt turn bangladesh fail state pm hasina bangladesh pm sheikh hasina say lover pakistan collaborate pakistan force country liberation struggle attempt turn bangladesh fail state hasina urge countryman foil plot people goal remain pakistan side include economic social cultural front say
